,Sect1Risk1,Sect1Risk2,Sect1Risk3,Sect1Risk4,Sect1Risk5,Sect2Risk1,Sect2Risk2,Sect2Risk3,Sect2Risk4,Sect2Risk5,Sect3Risk1,Sect3Risk2,Sect3Risk3,Sect3Risk4,Sect3Risk5,Sect4Risk1,Sect4Risk2,Sect4Risk3,Sect4Risk4,Sect4Risk5,Sect5Risk1,Sect5Risk2,Sect5Risk3,Sect5Risk4,Sect5Risk5,ContractReviewNumber,SalesOrderText,PartText
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False,True,True,True,True,False,13386,Sales Order,1TD13G3D13814-2301
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,13387,Sales Order,1TD1150D07039-2005
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,True,True,True,True,False,13387,Sales Order,1TD1150D07039-2006
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,13387,Sales Order,1TD1150D07039-2007
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,13387,Sales Order,1TD1150D07039-2008
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,13387,Sales Order,1TD1150D07039-9505
0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,13387,Sales Order,1TD1150D07039-9506
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,13387,Sales Order,1TD1150D07039-9507
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,13387,Sales Order,1TD1150D07039-9508
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,13388,Sales Order,842-349640-1
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,13389,Sales Order,A090511D0502-2011
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False,13390,Sales Order,1TD1335A00209-2003
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13391,Sales Order,70301-02116-042
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13393,Sales Order,17P2C1017-1
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,13394,Sales Order,1TDS4211001
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,13395,Sales Order,74A428075-2006SP
0,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,13396,Sales Order,74A735631-5203
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,13397,Sales Order,113W2122-23
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,13398,Sales Order,113W2122-23
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13399,Sales Order,60P5755822M002-02A
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13400,Sales Order,60P5755824M002-02A
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13401,Sales Order,60P2815801M003-01A
0,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,13403,Sales Order,60P2815802M003-02A
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13406,Sales Order,60P5755821M002-01A
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,13407,Sales Order,2CBE40980-2001
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13408,Sales Order,366605-11
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13409,Sales Order,70302-02139-041 TAI
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,13410,Sales Order,1TD1367D20603-2001
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,True,True,True,True,False,13410,Sales Order,1TD13G3D13152-2307
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13411,Sales Order,1TD1361D20536-2001
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13412,Sales Order,1TD1361D20203-9001
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,13413,Sales Order,1TD13G4D24109-1003
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13413,Sales Order,1TD13G4D24109-1004
0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,13414,Sales Order,1TD13G4D24106-1003
0,True,True,True,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13414,Sales Order,1TD13G4D24106-1004
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13415,Sales Order,148A6354-153
0,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,13416,Sales Order,148A6354-154
